restaurant_name,restaurant_url,menu_name,menu_type,section,name,description,price
Spring Street Deli & Pizzeria,https://springstreetdeli.net/,STARTING GATE,Deli Menu,STARTING GATE,HOUSE MADE SOUPS OF THE DAY,Daily selection of fresh soups,Small $5 | Large $7
Spring Street Deli & Pizzeria,https://springstreetdeli.net/,STARTING GATE,Deli Menu,STARTING GATE,FRENCH FRIES,With Cheese Small $6 Large $8,Small $4 | Large $6
Spring Street Deli & Pizzeria,https://springstreetdeli.net/,STARTING GATE,Deli Menu,STARTING GATE,BATTERED MOZZARELLA STICKS,Served with marinara or sriracha mayo,$10
Spring Street Deli & Pizzeria,https://springstreetdeli.net/,STARTING GATE,Deli Menu,STARTING GATE,CHICKEN TENDERS,"Served with a choice of bbq, buffalo, blue cheese, cajun mayo, honey mustard, or buffalo bleu",$2.50 per Tender
Spring Street Deli & Pizzeria,https://springstreetdeli.net/,STARTING GATE,Deli Menu,STARTING GATE,BONELESS CHICKEN WINGS,"Choice of Mild, Medium, Hot, BBQ, Honey BBQ or Garlic Parm served with celery & blue cheese",(1 LB) $13
Spring Street Deli & Pizzeria,https://springstreetdeli.net/,STARTING GATE,Deli Menu,STARTING GATE,BONE IN CHICKEN WINGS,"Choice of Mild, Medium, Hot, BBQ, Honey BBQ or Garlic Parm served with celery & blue cheese",$15 a Dozen
Spring Street Deli & Pizzeria,https://springstreetdeli.net/,KIDS MENU,Deli Menu,KIDS MENU,CHOOSE ONE: CHEESE QUESADILLA OR CHICKEN TENDERS OR GRILLED CHEESE,"Comes choice of french fries or potato chips, chocolate chip cookies & an applesauce",$12
Spring Street Deli & Pizzeria,https://springstreetdeli.net/,STABLE WRAPS,Deli Menu,STABLE WRAPS,BALSAMIC CHICKEN WRAP,Mixed greens tossed with crushed croutons parmesan cheese & balsamic dressing rolled in two flour tortillas with shaved chicken served with chips & pickle,$12
Spring Street Deli & Pizzeria,https://springstreetdeli.net/,STABLE WRAPS,Deli Menu,STABLE WRAPS,CHICKEN CAESAR WRAP,Crisp romaine tossed with crushed croutons parmesan cheese & caesar dressing rolled in two flour tortillas with shaved chicken served with chips & pickle,$12
Spring Street Deli & Pizzeria,https://springstreetdeli.net/,STABLE WRAPS,Deli Menu,STABLE WRAPS,CHICKEN BACON RANCH WRAP,Mixed greens tossed with crushed croutons parmesan cheese & ranch dressing rolled in two flour tortillas with shaved chicken & bacon served with chips & pickle,$12
Spring Street Deli & Pizzeria,https://springstreetdeli.net/,SALADS FROM THE TURF,Deli Menu,SALADS FROM THE TURF,CHICKEN SALAD WRAP,House made chicken salad with thinly sliced chicken finely diced celery & red onion cajun seasoning with & pepper & mayo with lettuce tomato bacon & cheddar cheese,$13
Spring Street Deli & Pizzeria,https://springstreetdeli.net/,SALADS FROM THE TURF,Deli Menu,SALADS FROM THE TURF,GREEK CHICKEN WRAP,Mixed green with shaved chicken chopped tomatoes onions olives cucumbers & feta cheese tossed in italian dressing rolled in two flour tortillas,$12
Spring Street Deli & Pizzeria,https://springstreetdeli.net/,SALADS FROM THE TURF,Deli Menu,SALADS FROM THE TURF,ANTIPASTO,Mixed greens salami sopresatta capicola pepperoni salami & provolone cheese banana peppers olives onions tomatoes roasted red peppers parmesan cheese with choice of dressing,SM $7 | LG $13
Spring Street Deli & Pizzeria,https://springstreetdeli.net/,SALADS FROM THE TURF,Deli Menu,SALADS FROM THE TURF,CAESAR,Crisp romaine croutons parmesan cheese & caesar dressing,SM $5 | LG $10
Spring Street Deli & Pizzeria,https://springstreetdeli.net/,SALADS FROM THE TURF,Deli Menu,SALADS FROM THE TURF,CHEF,Mixed greens julienned ham salami turkey & swiss cheese olives onions tomatoes with choice of dressing,SM $7 | LG $13
Spring Street Deli & Pizzeria,https://springstreetdeli.net/,SALADS FROM THE TURF,Deli Menu,SALADS FROM THE TURF,CHICKEN CAESAR,Crisp romaine with croutons parmesan cheese grilled chicken with caesar or balsamic dressing,SM $7 | LG $13
Spring Street Deli & Pizzeria,https://springstreetdeli.net/,SALADS FROM THE TURF,Deli Menu,SALADS FROM THE TURF,COBB,Mixed greens avocado bacon crumbled blue cheese grilled chicken hard boiled eggs onions tomatoes with choice of dressing,SM $7 | LG $14
Spring Street Deli & Pizzeria,https://springstreetdeli.net/,SALADS FROM THE TURF,Deli Menu,SALADS FROM THE TURF,GARDEN,Mixed greens carrots cukes olives onions & tomatoes choice of dressing,SM $6 | LG $11
Spring Street Deli & Pizzeria,https://springstreetdeli.net/,SALADS FROM THE TURF,Deli Menu,SALADS FROM THE TURF,GREEK,Mixed greens cukes olives onions tomatoes & feta cheese choice of dressing,SM $7 | LG $13
Spring Street Deli & Pizzeria,https://springstreetdeli.net/,SALADS FROM THE TURF,Deli Menu,SALADS FROM THE TURF,PORTOBELLO,Crisp romaine julienned blackened chicken & portobello mushrooms tomatoes & feta cheese with balsamic dressing,SM $7 | LG $13
Spring Street Deli & Pizzeria,https://springstreetdeli.net/,SALADS FROM THE TURF,Deli Menu,SALADS FROM THE TURF,TURKEY & APPLE,Crisp romaine julienned apples bacon cheddar cheese & roasted turkey with balsamic dressing,SM $7 | LG $13
Spring Street Deli & Pizzeria,https://springstreetdeli.net/,SALADS FROM THE TURF,Deli Menu,SALADS FROM THE TURF,DRESSINGS,"balsamic, blue cheese, caesar, honey mustard, italian, oil/vinegar, ranch, russian, sriracha mayo",
Spring Street Deli & Pizzeria,https://springstreetdeli.net/,SALADS FROM THE TURF,Deli Menu,SALADS FROM THE TURF,ADD PROTEIN,"grilled chicken, blackened chicken, buffalo tenders, chicken tenders, or grilled steak",SM $3 | LG $5
Spring Street Deli & Pizzeria,https://springstreetdeli.net/,QUARTER POLE,Deli Menu,QUARTER POLE,COLD SANDWICH,"Choice of roasted turkey, roast beef, ham, chicken salad, or corned beef, comes with lettuce, tomato, & onion with choice of bread, cheese, & dressing","6"" Sub or Bread $8 | 12"" Sub or Wrap $13"
Spring Street Deli & Pizzeria,https://springstreetdeli.net/,QUARTER POLE,Deli Menu,QUARTER POLE,ITALIAN MIX OR TUNA SANDWICH,"Comes with lettuce, tomato, & onion with a choice of bread, cheese, & dressing","6"" Sub or Bread $9 | 12"" Sub or Wrap $15"
Spring Street Deli & Pizzeria,https://springstreetdeli.net/,QUARTER POLE,Deli Menu,QUARTER POLE,TRIPLE DECKER CLUB,"Choice of Ham, Roast Beef, Roasted Turkey with a choice of bread, cheese, & dressing with lettuce, tomato, & bacon",$13
